rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean
0.05,4,1537.5,4443,88,50,1110.75
0.05,8,1801.25,8435,90,93,1054.375
0.05,12,1753.75,12969,90,143,1080.75
0.05,16,1784.25,18448,86,213,1153.0
0.05,20,1817.35,21350,86,246,1067.5
0.05,24,1827.6666666666667,25120,86,291,1046.6666666666667
0.05,28,1764.75,26830,86,311,958.2142857142857
0.05,32,1821.21875,30229,85,352,944.65625
0.05,36,1796.9166666666667,34959,85,407,971.0833333333334
0.05,40,1776.35,39512,85,460,987.8
